index	timestamp	hour	solar_dahead_utc	wind_on_dahead_utc	alpha	beta
326	20181114_140000	14	1898	5102	51.21002667	0.002743795
327	20181114_150000	15	1284	5242	50.93268878	0.002124243
328	20181114_160000	16	492	5471	51.22126757	0.00209866
329	20181114_170000	17	122	5871	51.24397719	0.002128866
330	20181114_180000	18	55	6273	51.07040965	0.00156627
331	20181114_190000	19	46	6633	51.08712315	0.001451644
332	20181114_200000	20	44	7009	51.17004366	0.001503106
333	20181114_210000	21	33	7022	50.86177936	0.001821069
334	20181114_220000	22	34	6943	52.12694327	0.003755261
335	20181114_230000	23	25	6316	49.74089106	0.004779185
336	20181115_000000	0	22	6041	57.90306027	0.001965582
337	20181115_010000	1	20	5701	54.95582509	0.001372428
338	20181115_020000	2	23	5376	52.77296407	0.001199928
339	20181115_030000	3	15	4959	52.54831597	0.001525363
340	20181115_040000	4	16	4560	52.58588131	0.001590707
341	20181115_050000	5	15	4211	52.65193578	0.001435872
342	20181115_060000	6	35	3936	53.25127965	0.001166452
343	20181115_070000	7	144	3649	51.94054876	0.001241766
344	20181115_080000	8	703	3378	51.28994739	0.000940539
345	20181115_090000	9	1357	3089	51.33624771	0.000763285
346	20181115_100000	10	1902	2853	51.50010618	0.000708727
347	20181115_110000	11	2155	2676	51.41863219	0.000731789
348	20181115_120000	12	2140	2564	51.44207575	0.000685158
349	20181115_130000	13	1952	2450	51.89097892	0.000675443
350	20181115_140000	14	1563	2357	51.5844312	0.000684508
351	20181115_150000	15	1017	2490	51.47034592	0.000663822
352	20181115_160000	16	414	2703	51.44943146	0.000661527
353	20181115_170000	17	180	2960	51.46072588	0.000654156
354	20181115_180000	18	105	3079	52.96700512	0.000760752
355	20181115_190000	19	48	3208	53.94849067	0.000900714
356	20181115_200000	20	16	3352	54.18558474	0.000919193
357	20181115_210000	21	20	3443	53.7057784	0.000859395
358	20181115_220000	22	19	3522	55.53369127	0.001198462
359	20181115_230000	23	19	2988	55.41913883	0.001245188
360	20181116_000000	0	14	3062	65.64747086	0.002588517
361	20181116_010000	1	13	3105	60.3238956	0.002085722
362	20181116_020000	2	14	3151	56.65177636	0.001559836
363	20181116_030000	3	16	3186	55.06397312	0.001338634
364	20181116_040000	4	16	3250	53.50215048	0.001095521
365	20181116_050000	5	13	3220	53.35790578	0.001044246
366	20181116_060000	6	17	3249	52.92833253	0.001023011
367	20181116_070000	7	193	3286	51.90646213	0.001344477
368	20181116_080000	8	896	3354	51.54943788	0.00084528
369	20181116_090000	9	1698	3511	51.56425956	0.000667234
370	20181116_100000	10	2258	3716	51.51620141	0.000687358
371	20181116_110000	11	2463	3931	51.29533968	0.000777522
372	20181116_120000	12	2366	3991	50.99670297	0.000923785
373	20181116_130000	13	2132	4034	51.11660144	0.000918133
374	20181116_140000	14	1698	4040	51.43269557	0.001465709
375	20181116_150000	15	1063	4055	51.48581852	0.001530706
376	20181116_160000	16	381	4096	51.49436747	0.001480447
377	20181116_170000	17	102	4217	51.19973324	0.001182079
378	20181116_180000	18	24	4502	51.32570783	0.00068196
379	20181116_190000	19	41	4841	51.79641535	0.000681407
380	20181116_200000	20	45	5205	51.54251122	0.000666748
381	20181116_210000	21	25	5409	51.20065191	0.000687484
382	20181116_220000	22	23	5614	51.79414786	0.001418771
383	20181116_230000	23	25	5679	51.76426762	0.002187255
384	20181117_000000	0	21	5553	58.21329165	0.001839975
385	20181117_010000	1	20	5416	55.30243889	0.001467933
386	20181117_020000	2	21	5294	53.28046111	0.001580898
387	20181117_030000	3	15	5160	53.5101775	0.003054201
388	20181117_040000	4	20	5018	53.19847381	0.003458179
389	20181117_050000	5	20	4935	54.44008093	0.004810043
390	20181117_060000	6	27	4809	48.74050867	0.007292364
391	20181117_070000	7	226	4723	23.51601136	0.004814658
392	20181117_080000	8	915	4611	23.32387574	0.004537358
393	20181117_090000	9	1731	4474	32.34390755	0.005160745
394	20181117_100000	10	2325	4336	35.44308078	0.005236742
395	20181117_110000	11	2523	4221	33.24250376	0.005114885
396	20181117_120000	12	2410	4167	32.43192463	0.005118614
397	20181117_130000	13	2142	4159	36.24921101	0.005249543
398	20181117_140000	14	1735	4121	37.63766205	0.005304324
399	20181117_150000	15	1099	4268	34.12972449	0.005073947
400	20181117_160000	16	411	4523	31.24854781	0.005111009
401	20181117_170000	17	113	4931	28.19048093	0.005237499
402	20181117_180000	18	67	5270	35.99459148	0.005330887
403	20181117_190000	19	38	5561	40.44275553	0.005533244
404	20181117_200000	20	25	5840	40.37313164	0.005505738
405	20181117_210000	21	25	6026	39.02383642	0.005493774
406	20181117_220000	22	23	6179	39.62405849	0.005691691
407	20181117_230000	23	7	6181	43.63204735	0.006198365
408	20181118_000000	0	7	6280	53.76264131	0.003087387
409	20181118_010000	1	7	6415	53.85093422	0.005861316
410	20181118_020000	2	7	6510	47.2527799	0.006959364
411	20181118_030000	3	7	6596	36.47368331	0.006567202
412	20181118_040000	4	6	6851	30.60283547	0.006579707
413	20181118_050000	5	6	6870	24.23815188	0.004955913
414	20181118_060000	6	14	6981	12.54633784	0.00307517
415	20181118_070000	7	82	7032	2.927518281	0.00059898
416	20181118_080000	8	307	7128	2.781284117	0.000557891
417	20181118_090000	9	579	7117	7.858913918	0.002674675
418	20181118_100000	10	777	7157	12.51220939	0.002827126
419	20181118_110000	11	839	7133	15.13644368	0.002942669
420	20181118_120000	12	798	7316	16.29068151	0.003080168
421	20181118_130000	13	694	7399	24.02998668	0.004476883
422	20181118_140000	14	529	7547	23.53629413	0.00447474
423	20181118_150000	15	334	7745	13.53783474	0.002719424
424	20181118_160000	16	145	7970	11.44495544	0.002595429
425	20181118_170000	17	80	8293	8.651229964	0.002166475
426	20181118_180000	18	59	8458	13.95331397	0.002584085
427	20181118_190000	19	47	8499	25.82012319	0.004571672
428	20181118_200000	20	13	8410	32.18133341	0.004747516
429	20181118_210000	21	14	8175	32.92224435	0.004897878
430	20181118_220000	22	12	7819	35.74757352	0.00511977
431	20181118_230000	23	20	6188	45.77438748	0.005660583
432	20181119_000000	0	19	5664	67.54497979	0.003355264
433	20181119_010000	1	18	5031	63.7354194	0.002937955
434	20181119_020000	2	18	4267	62.51945177	0.002772078
435	20181119_030000	3	6	3677	61.67175506	0.002713381
436	20181119_040000	4	6	3211	60.33942172	0.002341964
437	20181119_050000	5	5	2823	61.4363776	0.002616426
438	20181119_060000	6	39	2606	61.57525435	0.002523664
439	20181119_070000	7	64	2414	57.26235205	0.001429359
440	20181119_080000	8	318	2211	56.38820129	0.001155416
441	20181119_090000	9	653	2030	57.00664741	0.001133962
442	20181119_100000	10	923	1889	57.45510907	0.001167206
443	20181119_110000	11	1104	1820	56.81630703	0.001137118
444	20181119_120000	12	1151	1786	56.52570962	0.001110522
445	20181119_130000	13	1084	1804	56.02482331	0.000989947
446	20181119_140000	14	866	1866	55.22072631	0.000913696
447	20181119_150000	15	497	1900	54.88975667	0.000923171
448	20181119_160000	16	151	1944	54.39287311	0.000826706
449	20181119_170000	17	52	2029	54.06384823	0.000797332
450	20181119_180000	18	18	2197	55.66920725	0.001038963
451	20181119_190000	19	7	2415	56.80485573	0.001182912
452	20181119_200000	20	5	2664	56.91745072	0.001151591
453	20181119_210000	21	10	2936	55.12349766	0.000934954
454	20181119_220000	22	25	3132	55.50289441	0.001067933
455	20181119_230000	23	6	2831	56.58565845	0.001424101
456	20181120_000000	0	4	3041	63.51375757	0.002193428
457	20181120_010000	1	2	3194	57.3988787	0.001664404
458	20181120_020000	2	4	3442	53.2002845	0.000863191
459	20181120_030000	3	6	3785	51.76393983	0.000800885
460	20181120_040000	4	6	4188	52.44667586	0.00187711
461	20181120_050000	5	4	4565	54.55060349	0.00346341
462	20181120_060000	6	11	4839	54.72363542	0.003807977
463	20181120_070000	7	115	5071	53.30812902	0.002594538
464	20181120_080000	8	552	5283	52.15373423	0.001356333
465	20181120_090000	9	1038	5725	51.49615842	0.000741942
466	20181120_100000	10	1427	6238	51.66503479	0.001049553
467	20181120_110000	11	1645	6896	52.78805916	0.002208946
468	20181120_120000	12	1626	7270	53.01234453	0.003528673
469	20181120_130000	13	1481	7348	52.77479288	0.003998442
470	20181120_140000	14	1181	7620	50.47313963	0.005375886
471	20181120_150000	15	725	7581	49.77859141	0.004952726
472	20181120_160000	16	212	7517	49.84848811	0.004928115
473	20181120_170000	17	46	7497	51.34956251	0.004446952
474	20181120_180000	18	13	7488	52.45152141	0.002101492
475	20181120_190000	19	9	7453	51.40643089	0.0009356
476	20181120_200000	20	7	7402	51.42961061	0.000661518
477	20181120_210000	21	8	7395	51.38863299	0.00100059
478	20181120_220000	22	11	7316	53.96136774	0.002775225
479	20181120_230000	23	4	7438	52.83260275	0.003869998
480	20181121_000000	0	4	7326	53.58948277	0.000962564
481	20181121_010000	1	4	7161	52.41932695	0.001018642
482	20181121_020000	2	4	7055	53.40118014	0.002180674
483	20181121_030000	3	5	6988	54.23795123	0.003164002
484	20181121_040000	4	4	7068	54.11465158	0.003494665
485	20181121_050000	5	4	7079	54.00613	0.003275481
486	20181121_060000	6	11	7273	53.69601895	0.002990441
487	20181121_070000	7	124	7486	52.72942451	0.002013194
488	20181121_080000	8	670	7618	51.67525612	0.000791226
